order_id,product_id,price,freight_value
ORD-1001,prod_001,59.99,12.50
ORD-1001,prod_002,29.99,8.00
ORD-1002,prod_003,89.99,12.50
ORD-1002,prod_004,149.99,20.00
ORD-1003,prod_005,39.99,10.00
ORD-1004,prod_006,199.99,25.00
ORD-1005,prod_007,49.99,9.00
ORD-1006,prod_008,79.99,11.00
ORD-1006,prod_009,129.99,15.00
ORD-1007,prod_010,99.99,13.00
ORD-1008,prod_011,59.99,10.50
ORD-1009,prod_012,249.99,30.00
ORD-1009,prod_013,34.99,7.00
ORD-1010,prod_014,159.99,18.00
ORD-1011,prod_015,69.99,11.50
ORD-1011,prod_016,119.99,14.00
ORD-1012,prod_017,89.99,12.00
ORD-1013,prod_018,179.99,22.00
ORD-1013,prod_019,44.99,8.50
ORD-1014,prod_020,299.99,35.00
ORD-1015,prod_021,39.99,9.50
ORD-1016,prod_022,109.99,13.50
ORD-1016,prod_023,84.99,11.00
ORD-1017,prod_024,149.99,18.50
ORD-1018,prod_025,55.99,10.00
ORD-1019,prod_026,199.99,25.00
ORD-1019,prod_027,75.99,12.00
ORD-1020,prod_028,129.99,15.50
ORD-1021,prod_029,89.99,12.50
ORD-1021,prod_030,159.99,20.00
ORD-1022,prod_031,49.99,9.00
ORD-1022,prod_032,69.99,11.00
ORD-1023,prod_033,239.99,28.00
ORD-1023,prod_034,34.99,7.50
ORD-1024,prod_035,99.99,13.00
ORD-1025,prod_036,119.99,14.50
ORD-1025,prod_037,79.99,11.50
ORD-1025,prod_038,149.99,18.00
ORD-1003,prod_039,29.99,6.00
ORD-1004,prod_040,179.99,22.50
ORD-1007,prod_041,89.99,12.00
ORD-1008,prod_042,139.99,16.50
ORD-1010,prod_043,49.99,9.00
ORD-1012,prod_044,199.99,25.00
ORD-1014,prod_045,69.99,11.00
ORD-1015,prod_046,159.99,19.00
ORD-1017,prod_047,99.99,13.50
ORD-1018,prod_048,74.99,11.50
ORD-1020,prod_049,119.99,14.00
ORD-1022,prod_050,189.99,23.00
ORD-1024,prod_051,59.99,10.00
ORD-1025,prod_052,79.99,11.00
