product_id,product_category_name,product_category_name_english,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
prod_001,eletronicos,electronics,25,200,3,500,20,10,15
prod_002,livros,books,15,120,1,300,18,22,5
prod_003,calcados,shoes,20,150,2,800,30,15,20
prod_004,calcados,shoes,22,160,3,900,32,16,22
prod_005,brinquedos,toys,18,100,4,250,15,10,12
prod_006,informatica,computers,30,250,5,1500,40,30,20
prod_007,vestuario,clothing,16,130,3,400,25,20,10
prod_008,esporte,sports,24,180,4,600,28,12,18
prod_009,esporte,sports,20,150,2,550,26,14,17
prod_010,automotivo,auto,28,220,3,800,35,20,25
prod_011,utilidades,home_utilities,12,90,2,200,15,8,12
prod_012,informatica,computers,35,300,5,2000,45,35,25
prod_013,brinquedos,toys,16,110,3,200,12,8,10
prod_014,calcados,shoes,21,155,3,850,31,16,21
prod_015,livros,books,14,110,1,250,17,20,4
prod_016,vestuario,clothing,18,140,3,450,26,22,12
prod_017,eletronicos,electronics,27,210,4,600,22,12,18
prod_018,calcados,shoes,23,165,3,950,33,17,23
prod_019,brinquedos,toys,17,105,3,280,16,11,13
prod_020,informatica,computers,32,280,5,1800,42,32,22
prod_021,vestuario,clothing,15,125,2,380,24,18,9
prod_022,esporte,sports,22,170,3,580,27,13,17
prod_023,utilidades,home_utilities,13,95,2,220,16,9,13
prod_024,calcados,shoes,24,170,3,900,34,18,24
prod_025,livros,books,12,100,1,280,16,19,4
prod_026,automotivo,auto,26,210,3,750,33,18,23
prod_027,brinquedos,toys,19,115,3,320,17,12,14
prod_028,eletronicos,electronics,29,230,4,650,23,13,19
prod_029,calcados,shoes,22,160,3,880,32,17,22
prod_030,vestuario,clothing,17,135,3,420,25,21,11
